Melina Kanakaredes
Petrella Ann Bonner
Charles H. Gray
Jennifer Ehle
Tony Stark (Marvel Cinematic Universe)
Whitley Gilbert-Wayne
David Denman
Sergey Brin
Kat Nestel
Whit Hertford
Elliott Nugent
Philo McCullough
G Hannelius
Jordana (producer)
Rob Hollins
Ross Perot Jr.
Jordan Pruitt
Victoria Vetri
Viv Hope
Katrina Elam
Jeanie Tracy
Brett Dennen
Eugene Borden
Doctor Ross
Kurt Russell
Lisa Howard (reporter)
Amy Black (singer)
Katherine Locke
Harry Nilsson
Douglas Fowley
Anne Pressly
Paula Trickey
Gopher (Winnie-the-Pooh)
Humphrey Bogart
Tsuru Aoki
Kelly Harrell
Ben J. Pierce
Norman Chaney
Al Wilson (singer)
Jack Hoxie
Harrison Wells
Lil Hardin Armstrong
Juanita Hall
George Kosana
Orson Bean
Elley Duhé
"Ullrich Haupt (actor, born 1915)"
Will Lee
Corinne Conley
Floyd Jones
Bob Saget
Charlene Robinson
Eric Sardinas
Cameron Davis (Days of Our Lives)
Dan O'Herlihy
The Oracle (The Matrix)
Lloyd Price
M-Audio
Miss Bianca
Gil Hill
Adelle Lutz
Jayshree Ullal
Jackie Gleason
Coca-Cola Europacific Partners
Matthew West
Danica McKellar
Laura Dickinson
Mary Carlisle
Herb Voland
Rodney Trotter
Jack Henderson (actor)
Nora Denney
Tanya Haden
Joseph Sirola
Alexis Denisof
Lane Bradford
Tami Erin
Kirk Alyn
Bridget Regan
Projunior
Brent Collins
Dominic Toretto
Aimée Dalmores
Bettina Bush
Gabbie Nolen
Syleena Johnson
Morton Harvey
Alma Bennett
Steve Vinovich
"Magnus, Robot Fighter"
Mothra
Lita Grey
Anthony Pritzker
Drew Houston
Gay Seabrook
Pat Green
Annie Walker (Coronation Street)
Edward Burns
Aloysius Parker
Nina Bara
Zakiya (singer)
Brantley Gilbert
Ledisi
Category:Female Shakespearean characters
Fred Toones
Anthony Anderson
Shemp Howard
Richard Gordon (actor)
Skeletor
Earl Nelson (singer)
Loni Anderson
Ektor Rivera
Joi Cardwell
Gabriel Kahane
Kevin Michael
Jeanne Carpenter
Shawn Pittman (musician)
Angel Faith
Billy Gilman
Frankie Burke
Leah Kauffman
Akon
Stephen R. Karp
Blake Jenner
Elaine Dunn
Eric Vale
Rosario Dawson
Petya Rostov
Zorro
Hannah Baker
Shaggy 2 Dope
Larry Tucker (screenwriter)
J.R. Baxter
Kevin Bacon
The Ebony Horse
John Morgridge
Jackson C. Frank
Armando Silvestre
Evil Queen (Disney)
Rebekka Johnson
Harold J. Stone
Isabel Bigley
Jon Stewart
Deborah Foreman
Lynda Stipe
Didi Conn
Anne Jackson
Hinton Battle
Thomas Ian Nicholas
Earl Coleman (singer)
Robert Pastorelli
Terry Becker
Ethel Shutta
Lindsay Sloane
Doc Cheatham
Parry Shen
Nana Visitor
Simone Battle
Shannon Bex
Ando Masahashi
Fortune Gordien
Tara Subkoff
Martha Wentworth
Rebecca Toolan
Peter Ho
Alfred C. Cerullo III
Michael Talbott
Celestial Toymaker
Bela Lugosi
David Nail
Amy Kohn
Dave Madden
Gory Guerrero
Archie Campbell (comedian)
Nicholas Kadi
Patrick Henry Hughes
Henry B. Walthall
Ben Lyon
Ida Waterman
Andy Samuel
Anita Wilson
Mackenzie Ziegler
Kenneth Howell
Dani Sutherland
Dick Campbell (singer-songwriter)
Charlie Applewhite
Sandy Faison
Dame Edna Everage
Will Friedle
Robert Johnson
Category:Male characters in fairy tales
Bumpy cake
Dorothy Lovett
Meg Giry
Cami Bradley
Leatherman
James Steerforth
Pyrex
Macy Gray
Jason Meadows
Helen Ward (singer)
Adele Ritchie
Wolf of Kabul
Elizabeth Whitcraft
Brains (Thunderbirds)
SoMo
Elise Trouw
Kesang Marstrand
Josh Cowdery
Leonard Jackson (actor)
Keith A. Glascoe
Angelica Pickles
Tony Williams (singer)
Bubba Cathy
Karen Wolek
Chris Smith (composer)
Lon Chaney
John Sharian
Cullen Landis
Adrian Marcel
Curtis Donovan
Avey Tare
Diana Muldaur
Nikki and Paulo
Brother Blue
Jessica Cristina
Steve Shaw (actor)
Jerold T. Hevener
Michael Burnham
Ann Nesby
